username,review,rating,sentiment
iquine,"I bet you'd never think the mash-up the heavy-handed Rambo with the mystical stunning elegance of Crouching Tiger would work especially, while mixing in several musical numbers. Those who think that would be wrong. This movie was over the top in every way but it was pure awesomeness. Even with a 3-hour runtime, I was engrossed. It was a great story with thorough character development. A young native girl is effectively purchased by the mean British government who is controlling the people of Malli, presumably in India. This small tribe from which she belongs has a talented fighter who will stop at absolutely nothing to get her back. But the British government also has an Indian soldier who is equally as skilled; both of which dwarf all other soldiers as you'll see in the spectacular opening scene. As the two skilled fighters clash, will they come together for their heritage roots or will the duty of the one hold true to the army he works for. This movie blew me away. I've never seen special effects quite like this before. There were a plethora of frames that could be used for sweet posters. This movie was produced with smart editing, cinematography and choreography. This is a modern must see.",9/10,positive
JeanDeMichaque,"When I pushed play, I did not really believe that I would ever watch the whole movie. I just wanted to take a look and bail on it.Well, I was so wrong. This movie is a freaken masterpiece, combines some extraordinary drama, stunning stunts and action, great photography and absolutely beautiful music. Given that this is a Bollywood movie, you know that you are going to watch some pretty ridiculous action scenes, an overall cheesy direction and dialogues and that the acting won't exactly be Oscar worthy. But none of it made me not enjoy this movie. The time passed by very easily and I ended up having a really great time.The eye candy that is Ram Charan made this movie even more watch worthy in particular. That is one ridiculously handsome man, I have to say ;P.",9/10,positive
Jeremy_Urquhart,"I have to try and review this without comparing it to anything directly, because it's not really comparable to other action blockbusters that have disappointed me recently. But I can say that for large-scale, big-budget action movies, this is how you do it right. Hollywood isn't incapable of making movies that deliver excitement and emotion, but many pale in comparison to RRR. Again without pointing out any movies in particular (because I don't know what's directly comparable), Hollywood should take notes.RRR has many familiar tropes and beats that you get out of historical epics/action movies, but it uses those tropes well. Things we've seen on-screen dozens of times before can still be exciting and entertaining if they're used properly, and RRR is a testament to that.The amazing action is probably what stands out the most, but at its core, this film also has a really good story with heroes you want to see win and villains you want to see defeated. There's some extra conflict between the two main heroes for much of the movie, but ultimately it's a good vs evil story that's pretty straightforward and honest about that, and thanks to the great characters and strong performances, that ends up being enough.There's very little by way of slow scenes or dead air, and another reason the three hour runtime flies by is because the action is so good. I complain about lacklustre action in modern action movies a lot, and so I was really happy to find that RRR does its action so well. Amazing stunts, great setups for the big set piece scenes, a level of brutality that makes you feel the impact of the combat (but not too much that it feels gratuitous), and a way of making things over-the-top in the best way possible (so not to the point where it feels like there are no rules or consequences for the good guys). The two main heroes in this are almost superheroes, which arguably makes RRR the best superhero film in years.Excellent stuff. A couple of lesser performances from minor characters and some occasionally clunky English dialogue from the British characters is all I could criticise it for, and they're nitpicks. This is a great action movie and an epic that more than warrants its three hour runtime.",9/10,positive
evanston_dad,"I have seen a lot of movies in my time, made in a lot of different styles from different genres, from all around the world. I've seen everything from the most mainstream movie imaginable to the most experimental. I can't even remember the last time I came away from a movie thinking that I'd never seen anything like it. But that's how I felt after ""RRR.""This movie is so much. Its ""much""-ness may be a turn off to some, and almost was for me. My wife and I nearly bailed at the 20 minute mark because the film is so over the top and ridiculous. But we got hooked, and then I was totally in for the ride, to the point where I was disappointed that this 3+-hour behemoth was ending.Do you like to see muscle-bound, slicked-up men fighting tigers? Check. How about public floggings that turn into musical numbers? Got it. Evil British people so extremely evil that England should sue the filmmakers for defamation? Sure. How about evil British people being mauled by rampaging jungle animals? You betcha. Beheadings? Yep. Romance? Of course. Homoeroticism so intense just watching this movie may turn you gay? Hoo-boy. Let's just say that anything not already in this movie isn't worth having anyway.Watch ""RRR,"" and then make sure whatever the first movie is that you watch after it is one you don't care too much about, because it will most certainly feel like the palest imitation of a movie you have ever seen. Seriously, this movie is so deliriously bonkers and so unafraid to be absolutely absurd that it's almost impossible to watch pretty much any other movie now and not be disappointed by it for not being this one. Thanks a lot ""RRR.""Grade: A+",10/10,negative
owenpont-70803,"This was an incredible film. I never heard of this film until Netflix brought it up. I saw clips of the movie and decided it looked pretty good and watched it. I am glad I did, the dancing scene at the party was incredible. Arguably the scene was the best scene in the film. But also the first scene where Ram Charan takes on a mob of people was pretty awesome to watch as well. Overall this is definitely one of the best films of the year combining action, comedy, romance, dancing and great storytelling.",10/10,positive
matthewssilverhammer,"There is officially ZERO reason to watch Gray Man; THIS is the only (not-so-)semi-subtle homoerotic Netflix action epic we need. A tightrope walk between complete silliness & beautiful sincerity, it has entertainment value dripping from every colorful pore: insane action, enveloping dialogue, sprawling yet intimate storytelling, elaborate dancing (yep!). Admittedly, the unfamiliarity of the tone may be a bit much for those prepared, but it's hard to deny the bravura movie-making, daring you to not to have fun.",10/10,negative
Dark_Lord_Mark,"SO long story short, word of mouth happened and more and more people including myself heard about this movie and here we are.It's about friendship and honor and wants and well everything Star Wars Prequels should have been. It's everything Marvel should have been.This movie is about 2 men, super human, some suspension of belief needs to be had. View it as a super hero movie and it delivers.Plot: It's about 2 men; a hero and the anti hero. One has duty, one has family.It's an action movie, think what Avengers Civil War, Batman vs Superman should have been. In modern American movies, the overuse of CGI makes the movies look cheap. RRR has CGI and some places it does look a little cheap, but for a modern big budget film, it delivers.I have to give it between a 9 and 10. My expectations were low, but the AMAZING actions scenes were filmed very well, the acting and just the over the top hero moments were well done.Highly recommended and a must see.",10/10,positive
nelson-akash,"An Average Film made on Rs. 600 crores Budget...Big on Visuals but Weak on Emotions !!! One time watch... Nothing to take back Home. Have been Missing Story Tellers like Maniratnam Sir. Film without Story is like Body without Soul, This is exactly How I will Describe RRR !!! With all Due Respect to the Makers... everything was fine... the Hard work was visible in each frame... But if U guys would have worked Real Hard on the Story, as U worked on rest of the stuff then U would have made our country Proud by making Good, Grand and Sensible Cinema. But then I must say one thing Hats of to Create such a Grand Cinematic Experience. Will be waiting to see something as Big as RRR, But with Soul.Dear Writers, Kindly go and meet Rajamouli Sir, He desperately need Good writers in his team and definitely some good Scripts. Otherwise next time again 600 Crores will be Wasted on some Gimmicks.",6/10,positive
jamesfaustino-82405,"This movie is one of the greatest movies I've seen in my life not knowing that Indian movies would actually execute so well especially this one. The action is the best part of this movie, no scene in this movie cannot go untouched without action. Even though on some parts I never understood what they were saying the subtitles helped and I understood this movie. Some scenes were ridiculously funny and stupid but made me realize how good this movie is. Take notes Hollywood as this movie tops the majority of your movies today.",8/10,positive
tajimcom,"Watched it in 3d. Some scenes are like over the top and illogical. You don't expect this from Rajamaulis movie. There were some boring scenes as well. Story is not so trong. VFX is good. Some section scenes are also good. Overall, after Bahubali and Bahubali 2 Rajamauli disappointed me.",6/10,positive
